01/21 06:23:44 PM | Epoch[0] (4864/50000):	Loss 0.5116	Accurary 85.12%		Time 26.77s
01/21 06:23:44 PM | Epoch[0] (4864/50000):	Loss 0.5116	Accurary 85.12%		Time 26.77s
01/21 06:24:05 PM | Epoch[0] (9728/50000):	Loss 0.3899	Accurary 88.26%		Time 21.87s
01/21 06:24:05 PM | Epoch[0] (9728/50000):	Loss 0.3899	Accurary 88.26%		Time 21.87s
01/21 06:24:27 PM | Epoch[0] (14592/50000):	Loss 0.3302	Accurary 89.92%		Time 21.71s
01/21 06:24:27 PM | Epoch[0] (14592/50000):	Loss 0.3302	Accurary 89.92%		Time 21.71s
01/21 06:24:48 PM | Epoch[0] (19456/50000):	Loss 0.2952	Accurary 90.77%		Time 21.36s
01/21 06:24:48 PM | Epoch[0] (19456/50000):	Loss 0.2952	Accurary 90.77%		Time 21.36s
01/21 06:25:06 PM | Epoch[0] (24320/50000):	Loss 0.2731	Accurary 91.43%		Time 17.86s
01/21 06:25:06 PM | Epoch[0] (24320/50000):	Loss 0.2731	Accurary 91.43%		Time 17.86s
01/21 06:25:24 PM | Epoch[0] (29184/50000):	Loss 0.2560	Accurary 91.92%		Time 17.65s
01/21 06:25:24 PM | Epoch[0] (29184/50000):	Loss 0.2560	Accurary 91.92%		Time 17.65s
01/21 06:25:42 PM | Epoch[0] (34048/50000):	Loss 0.2446	Accurary 92.22%		Time 17.65s
01/21 06:25:42 PM | Epoch[0] (34048/50000):	Loss 0.2446	Accurary 92.22%		Time 17.65s
01/21 06:25:59 PM | Epoch[0] (38912/50000):	Loss 0.2356	Accurary 92.44%		Time 17.58s
01/21 06:25:59 PM | Epoch[0] (38912/50000):	Loss 0.2356	Accurary 92.44%		Time 17.58s
01/21 06:26:17 PM | Epoch[0] (43776/50000):	Loss 0.2285	Accurary 92.66%		Time 17.64s
01/21 06:26:17 PM | Epoch[0] (43776/50000):	Loss 0.2285	Accurary 92.66%		Time 17.64s
01/21 06:26:34 PM | Epoch[0] (48640/50000):	Loss 0.2245	Accurary 92.76%		Time 16.65s
01/21 06:26:34 PM | Epoch[0] (48640/50000):	Loss 0.2245	Accurary 92.76%		Time 16.65s
01/21 06:26:41 PM | Test Loss 0.4453	Accurary 85.93%		Time 4.22s

01/21 06:26:41 PM | Test Loss 0.4453	Accurary 85.93%		Time 4.22s

01/21 06:27:02 PM | Epoch[1] (4864/50000):	Loss 0.1670	Accurary 94.51%		Time 20.76s
01/21 06:27:02 PM | Epoch[1] (4864/50000):	Loss 0.1670	Accurary 94.51%		Time 20.76s
01/21 06:27:19 PM | Epoch[1] (9728/50000):	Loss 0.1679	Accurary 94.51%		Time 16.38s
01/21 06:27:19 PM | Epoch[1] (9728/50000):	Loss 0.1679	Accurary 94.51%		Time 16.38s
01/21 06:27:35 PM | Epoch[1] (14592/50000):	Loss 0.1651	Accurary 94.52%		Time 16.27s
01/21 06:27:35 PM | Epoch[1] (14592/50000):	Loss 0.1651	Accurary 94.52%		Time 16.27s
01/21 06:27:51 PM | Epoch[1] (19456/50000):	Loss 0.1619	Accurary 94.62%		Time 16.38s
01/21 06:27:51 PM | Epoch[1] (19456/50000):	Loss 0.1619	Accurary 94.62%		Time 16.38s
01/21 06:28:08 PM | Epoch[1] (24320/50000):	Loss 0.1620	Accurary 94.58%		Time 16.64s
01/21 06:28:08 PM | Epoch[1] (24320/50000):	Loss 0.1620	Accurary 94.58%		Time 16.64s
01/21 06:30:23 PM | Epoch[0] (4864/50000):	Loss 0.4701	Accurary 85.68%		Time 21.32s
01/21 06:30:23 PM | Epoch[0] (4864/50000):	Loss 0.4701	Accurary 85.68%		Time 21.32s
01/21 06:30:23 PM | Epoch[0] (4864/50000):	Loss 0.4701	Accurary 85.68%		Time 21.32s
01/21 06:30:39 PM | Epoch[0] (9728/50000):	Loss 0.3764	Accurary 88.22%		Time 15.77s
01/21 06:30:39 PM | Epoch[0] (9728/50000):	Loss 0.3764	Accurary 88.22%		Time 15.77s
01/21 06:30:39 PM | Epoch[0] (9728/50000):	Loss 0.3764	Accurary 88.22%		Time 15.77s
01/21 06:30:55 PM | Epoch[0] (14592/50000):	Loss 0.3205	Accurary 89.95%		Time 16.12s
01/21 06:30:55 PM | Epoch[0] (14592/50000):	Loss 0.3205	Accurary 89.95%		Time 16.12s
01/21 06:30:55 PM | Epoch[0] (14592/50000):	Loss 0.3205	Accurary 89.95%		Time 16.12s
01/21 06:31:11 PM | Epoch[0] (19456/50000):	Loss 0.2936	Accurary 90.71%		Time 16.08s
01/21 06:31:11 PM | Epoch[0] (19456/50000):	Loss 0.2936	Accurary 90.71%		Time 16.08s
01/21 06:31:11 PM | Epoch[0] (19456/50000):	Loss 0.2936	Accurary 90.71%		Time 16.08s
01/21 06:31:27 PM | Epoch[0] (24320/50000):	Loss 0.2701	Accurary 91.39%		Time 16.11s
01/21 06:31:27 PM | Epoch[0] (24320/50000):	Loss 0.2701	Accurary 91.39%		Time 16.11s
01/21 06:31:27 PM | Epoch[0] (24320/50000):	Loss 0.2701	Accurary 91.39%		Time 16.11s
01/21 06:31:43 PM | Epoch[0] (29184/50000):	Loss 0.2548	Accurary 91.81%		Time 15.70s
01/21 06:31:43 PM | Epoch[0] (29184/50000):	Loss 0.2548	Accurary 91.81%		Time 15.70s
01/21 06:31:43 PM | Epoch[0] (29184/50000):	Loss 0.2548	Accurary 91.81%		Time 15.70s
01/21 06:31:59 PM | Epoch[0] (34048/50000):	Loss 0.2420	Accurary 92.18%		Time 16.21s
01/21 06:31:59 PM | Epoch[0] (34048/50000):	Loss 0.2420	Accurary 92.18%		Time 16.21s
01/21 06:31:59 PM | Epoch[0] (34048/50000):	Loss 0.2420	Accurary 92.18%		Time 16.21s
01/21 06:32:15 PM | Epoch[0] (38912/50000):	Loss 0.2345	Accurary 92.39%		Time 15.50s
01/21 06:32:15 PM | Epoch[0] (38912/50000):	Loss 0.2345	Accurary 92.39%		Time 15.50s
